,AICW_score,AICW_rank,FUCOM_score,FUCOM_rank,LBWA_score,LBWA_rank,MEREC_score,MEREC_rank,SD_score,SD_rank
157166,240307198.10676414,63.0,307061745.4304232,5.0,296826626.18382347,2.0,352501411.3443763,1.0,368780380.34041065,5.0
157638,147588043.7590747,198.0,165234830.94275796,194.0,137077775.18131667,204.0,138581538.81004986,31.0,117999280.17236783,207.0
146752,158129128.54569864,188.0,125482591.40198743,210.0,115261418.50280006,210.0,17329389.403635263,213.0,90959716.960351,210.0
146748,292217318.4050003,12.0,271052238.06199485,15.0,261057005.12481287,17.0,87806489.39094545,81.0,291901885.35950077,33.0
146794,209866640.50316188,109.0,213016657.0879972,111.0,185843277.2139673,132.0,92564221.1344722,74.0,276520067.7016048,44.0
146768,334074717.4214454,1.0,270945601.53560007,16.0,283753494.0301438,6.0,99955136.43663348,62.0,310943592.11018795,29.0
157212,318701226.106511,4.0,301331567.6254052,6.0,287753824.57788855,4.0,111540538.33578402,45.0,365350991.0853007,6.0
117114,217333378.01916572,99.0,229345009.43537793,78.0,202537891.86036414,99.0,74236597.97313248,101.0,265706787.60634118,54.0
146766,324164263.9866932,3.0,231839456.2450973,71.0,259082441.3738938,19.0,86314029.13848594,82.0,251779394.83035567,65.0
146749,289268901.6725099,14.0,268131144.10938957,19.0,257961029.88951877,20.0,77389204.2203417,91.0,289470883.26402044,34.0
157200,232748661.64747176,75.0,244746160.42475343,48.0,212619255.12476358,75.0,72834689.67264165,103.0,275956266.2261876,45.0
146772,262196374.24973205,35.0,182653148.28670338,167.0,204859873.28683478,95.0,59764965.55219634,133.0,166717282.08451352,177.0
117130,118964207.32323286,210.0,119773797.49735399,212.0,101551365.45184374,212.0,75345543.79395692,96.0,87815765.91262178,212.0
146770,277528914.7183418,18.0,254503244.9930023,29.0,245064797.81920624,27.0,60535089.03747356,126.0,253531339.56757712,64.0
146767,273615585.7336191,20.0,249960611.95420653,40.0,240766053.79576874,35.0,54917050.64318418,144.0,241551491.66876277,76.0
117159,159458734.53588283,184.0,172787641.7653294,184.0,150177013.42710412,183.0,90549120.50842595,79.0,153741140.60909835,189.0
117116,118964207.32323286,210.0,119773797.49735399,212.0,101551365.45184374,212.0,75345543.79395692,96.0,87815765.91262178,212.0
146747,246672446.48994645,55.0,237778008.5110525,58.0,229104349.8098127,48.0,207334099.08309025,13.0,258517801.19549224,62.0
96495,220081888.8910874,91.0,199876661.91321993,139.0,198417212.7814281,105.0,102499607.97660482,59.0,165008963.55116618,178.0
96493,219344784.7079648,93.0,199146388.42506862,141.0,197643218.97260457,107.0,99895286.68395388,63.0,164401213.02729607,179.0
96500,209347257.5138896,111.0,189173584.5877873,154.0,190367058.5049005,122.0,94052152.81386162,72.0,157456551.27223146,185.0
